codec,preset,sequence,crf,standard,real_bitrate,bitrate,FR YUV-SSIM,FR Y-MS-SSIM,FR Y-VMAF NEG,FR Y-VMAF (v061),FR YUV-VMAF (v061),FR YUV-VMAF NEG,FR AVQT,FR Y-VQM,NR VSFA,NR MDTVSFA,NR Y-NIQE,NR VIDEVAL,NR PaQ-2-PiQ,NR KonCept512,NR LINEARITY,NR SPAQ BL,NR SPAQ MT-S,NR SPAQ MT-A,NR MEON,NR NIMA,FR GREED,FR DISTS,FR LPIPS,FR FOV VIDEO,FR DVQA,FR YUV-PSNR,NR UNIQUE,NR GVSP-UGCVQA-NR-multi_scale,NR GVSP-UGCVQA-NR-single_scale,FR GVSP-UGCVQA-FR-single_scale,NR DBCNN,NR Li2022,NR MUSIQ,FR AHIQ,FR DSS,FR FSIM,FR GMSD,FR MDSI,FR MS-GMSD,FR SRSIM,FR VIFp,FR VSI,FR COMPRESSED VQA,NR COMPRESSED VQA,FR CONFORMER BNS,FR CVRKD,FR MR-Perceptual,NR NIQE,FR NLPD,FR PieAPP,NR SPAQ,FR LPIPS VGG,FR HAAR PSI,FR CKDN,FR LPIPS AlexNet,NR BRISQUE,FR A-DISTS,FR WaDIQaM,NR META-IQA,FR TOPIQ,NR TOPIQ,FR ASNA-MACS,NR Koncept,FR STLPIPS,NR CLIP-IQA+,NR WaDIQaM,NR RankIQA,subjective_score
vp9,subjective,crowd-run-2019,1000,vp9,1616.0,mid,5.261886954307556,0.8549635410308838,29.52924156188965,30.32747840881348,190.6236038208008,185.67734050750727,1.14,5.1475982666015625,0.6497910618782043,0.4791484,5.493729591369629,4.074279072414555,62.61617614599998,50.73312521362305,21.43207335197246,54.43049655084363,52.29616856527424,52.08069809325441,38.84290643512973,4.772295899362026,4.028918964958891,0.21762101275,0.571440136,8.2044,0.07508935,206.87786293029785,-0.9803034906794212,2.970914124826799,3.14154052734375,1.6637375354766846,2.730932559013367,0.31210572,27.13275100708008,0.282376926,0.3889729833006858,0.9108070477247238,0.183346244752407,0.3794063431024551,0.1762153779566288,0.9580547468662262,0.1605226689875125,0.966752413868904,1.6955286207199096,3.4191195182800294,1572.058495361328,3.922960781574249,1061.608278564453,5.301143810374267,0.4532653552889824,3.5239766907691954,37.153826484680174,0.5991595667600632,0.4921186254024505,0.5849851773977279,0.5578381050229072,43.50276220703125,0.4070688660144806,-0.0917469230443239,0.1880595478117466,0.3239825397729873,0.2157754725217819,0.7249106341600418,51.95046313476563,0.3910902842581272,0.2604251265227794,-0.7227462176680565,31.39490003967285,1.9528992155868885
vp9,subjective,crowd-run-2019,2000,vp9,2610.0,mid,5.770985543727875,0.9047298431396484,45.6440658569336,46.91183090209961,315.7818956375122,307.65106868743896,1.94,4.5267863273620605,0.721441924571991,0.55574864,4.691843509674072,4.273902740309568,68.63983004399998,52.1590383605957,48.58392232106721,56.522301565387295,55.32447864433487,55.22587476566642,32.42596931337326,5.300499543279945,15.665099588477958,0.1605826953749999,0.444099402,8.7652,0.10589313,219.6990509033203,0.0419513122113551,3.784347236936792,4.003487586975098,2.2553188800811768,3.2720860624313355,0.33566415,35.36668560791016,0.419741526,0.5787381123304367,0.9413309816122056,0.145614569813013,0.335038191974163,0.1391537686735391,0.972469067454338,0.2239877776801586,0.9797886259555816,2.305626216888428,4.2597626628875735,1606.1246147460938,3.86810938501358,1047.829448486328,4.395657095772038,0.382338962495327,2.456118776321411,44.87767306518555,0.5052584593892098,0.5750508435964584,0.5770506771802902,0.4204015109539032,36.97824951171875,0.3453045301437378,-0.0682526868134737,0.2049942563772201,0.4060834323763847,0.2798812356591225,1.081541398644447,56.45588143920899,0.2479350225627422,0.3711276173591614,-0.5941033189892769,29.05782395172119,4.119688355329167
vp9,subjective,crowd-run-2019,4000,vp9,5003.0,mid,6.308308064937592,0.9429765939712524,61.66542816162109,63.39997100830078,456.0727691650391,444.5145072937012,2.96,3.664899349212648,0.7587024569511414,0.6055395,4.089402675628662,4.399488014155822,71.74550349400003,52.40642471313477,62.97801991823661,56.77003514029071,56.01482602269826,55.30264139841655,31.511376718562865,5.4661773634542845,24.804046885738828,0.1343681483625,0.35687876,9.1455,0.13545851,234.53619003295896,0.5922240420967757,4.289223971147927,4.495151042938232,2.757627487182617,3.449330390453339,0.35568526,47.08722760772705,0.539825836,0.7672110639810562,0.964940591454506,0.1030390376523137,0.2887535525560379,0.0984139451608061,0.983830019235611,0.3032091197371482,0.9885843603610992,2.8999093971252443,4.644251434326172,1618.9941252441406,3.8440573444366457,1036.4746311035155,3.690700476100485,0.3085054901242256,1.7448407979011535,49.564570472717286,0.3961428980231285,0.6701387759447098,0.5700422786474227,0.3202192809581756,35.01138818359375,0.269724880695343,-0.0481762057729065,0.2237934353053569,0.5287363333106041,0.328942080616951,1.3062872304916382,58.62952699279785,0.152410187125206,0.4854318585395813,-0.4884225618243217,27.76707707977295,6.140921483809624
vp9,subjective,kayak-trip-2019,1000,vp9,2075.0,mid,7.062564432621002,0.9076406955718994,49.24094009399414,51.22344970703125,419.324031829834,404.7897605895996,1.66,2.536745309829712,0.6755916476249695,0.5193091,6.078627109527588,3.906824843845796,68.6654648277778,50.82044271681044,45.2484742280569,47.04250820159912,45.01507697211372,46.17896070692274,37.44936847111111,4.908678999880536,8.747042524297328,0.0741345725125,0.2936945333333333,9.0573,-0.016278911,255.9448432922364,-0.1956224676294045,3.4022640608649164,3.503814697265625,2.948997259140014,3.153194456630283,0.32432336,39.79948584662544,0.4501098633333333,0.5519261513650418,0.929865879615148,0.1277159657577673,0.3395940237906244,0.1195764880213472,0.9722041770484712,0.2835482315719128,0.9830934025181663,3.2181161965264216,3.795836363368564,1632.9332595486112,3.296334410376019,1034.784711710612,5.741940018802751,0.2814201905164453,1.6575994771718978,39.32783955468072,0.3704807323714097,0.6573098348577817,0.555756609208054,0.2937264371580548,50.152356499565975,0.2398970254262288,-0.0618815773725509,0.1984499961800045,0.5286304456657833,0.3068360038598378,0.7700401741928524,54.64348139444987,0.1327297505156861,0.3568751700056923,-0.6258261861734921,27.57491058773465,2.1924191662846244
vp9,subjective,kayak-trip-2019,2000,vp9,3768.0,mid,7.249289095401764,0.9356132745742798,58.0100212097168,60.12440872192383,491.6773338317871,476.1983146667481,2.19,2.0758934020996094,0.7078354358673096,0.5547965,5.50279712677002,3.9735497847867207,70.19596641333328,51.4375080786811,53.52347834665383,48.178015560574,46.26019624498156,47.27986796908908,35.309486981111135,4.987165947640315,14.229984100892793,0.05020380855,0.2252756877777778,9.4344,2.6861556,267.9854736328125,0.1267764302074081,3.796467443695417,3.928101539611816,3.58308744430542,3.269808017677731,0.3406698,44.62901198916965,0.5092917933333333,0.6643424539433586,0.9520039486222795,0.1033650432982378,0.3052139400939146,0.0943427509235011,0.9807857363753848,0.3566294885675112,0.9886253153615528,3.64789640320672,4.171438678105672,1645.190296766493,3.212820607556237,1029.5331698947482,5.220813990307946,0.238253045487735,1.3092978929811054,42.129196679857046,0.314812358253532,0.7268644857737753,0.5662113781107797,0.2252990155832635,45.41311821831597,0.2003909152083926,-0.0485558707308438,0.2073464050723446,0.619211999475956,0.3341637523637877,0.9691150108310912,56.80683936225044,0.0891417094754676,0.4075259339312712,-0.5932432408465279,26.49972970114814,3.832727922394557
vp9,subjective,kayak-trip-2019,4000,vp9,7366.0,high,7.474988400936127,0.9647326469421388,69.94837951660156,72.14844512939453,581.5524215698242,565.4318542480469,3.1,1.5015554428100586,0.7406244874000549,0.5887454,5.182636260986328,4.024552930147732,71.40406262444439,51.83248437669542,59.6760825336065,49.11342999776205,47.31044122483996,48.282533213297526,33.59927309,5.074197254682788,25.268695841109533,0.032735016925,0.1595745433333333,9.6125,22.150906,287.4438018798828,0.3918410793340041,4.246620365364623,4.31950569152832,3.914402961730957,3.340051414966583,0.35052368,48.15766028934055,0.5702542688888889,0.806545454925961,0.9747599420944848,0.07132625151943,0.2580868552459611,0.0623241311870515,0.9900506516297658,0.4534433697991901,0.9940010011196136,4.060199216206868,4.44923130247328,1655.4255843098958,3.141625508467357,1024.3493908013238,4.900814198787604,0.1809317443768183,0.949793753027916,44.18439947764079,0.2549854904827144,0.8120333317253324,0.5767729641993841,0.1595894412986106,42.11944851345486,0.1588040853871239,-0.0337967351767131,0.2153537636829747,0.7351161802808444,0.3586389748586548,1.1212595112456216,58.23081106397841,0.0510496442599429,0.4535347713695632,-0.569831478132142,25.665390957726373,4.715079266487291
vp9,subjective,making-alcohol-2019,1000,vp9,1705.0,mid,7.805745482444763,0.9872239232063292,85.32608795166016,87.57041931152344,677.6638946533203,662.3060073852539,4.58,0.8095117211341858,0.6880708932876587,0.5554826,7.557401657104492,3.5349915485720755,54.10688253611112,49.2824674182468,23.385585173985312,44.70339003668891,42.36571407318115,44.44852937062581,57.13925655000002,4.976272580524285,41.35721763288619,0.0258860222812499,0.1154950527777777,9.5231,54.22114,336.13648986816406,-0.4421326849182757,4.573508706599809,4.479500770568848,4.166792869567871,2.656218238009347,0.35458997,31.606304306454128,0.5959643888888889,0.9328626218769286,0.9890595096680852,0.0255933821097844,0.2042696088552475,0.0229982479785879,0.9957760961519349,0.6425175527731578,0.997211652994156,4.181445950931973,4.528963730070326,1608.9318918863933,3.2727720426188576,1023.6329145643448,7.238213974136228,0.1085646884722841,0.6693811073071427,31.117147175470983,0.2319403235697084,0.9190785553720262,0.5814414499534502,0.1154590467404988,57.29943169487847,0.1713927762375937,-0.0182062056122554,0.220548526984122,0.8380616471171379,0.2442804271976153,0.7704499050974846,50.54246726565891,0.0108258695393386,0.3838363071282705,-0.765073972609308,25.15797105365329,2.211430648243716
vp9,subjective,making-alcohol-2019,2000,vp9,3397.0,mid,7.865913033485413,0.9940271973609924,94.5936508178711,96.0957260131836,745.4465179443359,734.4240951538086,4.97,0.5639637112617493,0.7022413611412048,0.5832752,7.488126277923584,3.5921825488232844,54.9984837638889,49.56678117116292,26.950014945287805,45.12502833472358,42.81403692033556,44.9595709906684,56.71917343611116,5.040221458580345,45.75428523028232,0.0,0.0779020666666666,9.7241,83.62746,356.4092102050781,-0.2949702556969391,4.655509329939148,4.6196112632751465,4.416773319244385,2.7232306513521407,0.36395606,32.82877244419522,0.6168795333333333,0.97081584168805,0.9954882583684392,0.013511081585764,0.1637154912783039,0.0134430992740413,0.9983359343475766,0.7314194379581346,0.9987149109443028,4.444362057579888,4.650456836488512,1612.999565633138,3.229925181799465,1021.8225197686088,7.1585060165842105,0.0796339307187331,0.4886392768058512,32.05352243317498,0.1764340442087915,0.9559769651956028,0.5897263530227873,0.0778686768582297,56.69710693359375,0.1284512006574207,-0.0134047225224397,0.2293399511526028,0.9047219258215692,0.2545824255380365,0.8206702878077825,51.107826487223306,0.0058311130078638,0.4240964893665578,-0.7651553084452947,24.6934195306566,2.9643648859669667
vp9,subjective,making-alcohol-2019,4000,vp9,7025.0,high,7.900327205657959,0.9968602657318116,98.624267578125,99.32533264160156,774.9524459838867,768.8073120117188,5.0,0.4207640588283539,0.7111225128173828,0.59728956,7.435139179229736,3.6048161698144057,55.5497571944444,49.71539022657606,29.07906899925409,45.39710022608439,43.154979663425024,45.33564914067586,56.01378678055558,5.0662062556793295,48.3279032267602,0.00924527266875,0.0560658638888888,9.8158,95.09518,372.7990531921387,-0.1990541026513609,4.683959572303591,4.698493957519531,4.560640335083008,2.768667213453187,0.36962095,33.72548178301917,0.6269788416666666,0.986935679614544,0.9980062870515718,0.0069884189495092,0.133476467968689,0.0085029205475519,0.9993106166521708,0.7900594444738493,0.9993714703453912,4.557411087883843,4.700255733066135,1615.0543772379558,3.225234758522776,1020.8879830254448,7.093795693142454,0.0615567964915599,0.3673532571229669,32.73178440729777,0.1403941468646129,0.9747724917199876,0.5916036773886946,0.0560324986879196,56.27520616319445,0.0997496416171391,-0.010703344757591,0.2337808449649148,0.9264229002926084,0.2603900401956505,0.8443107840087679,51.42691046396892,0.0030745270073465,0.4476977164546649,-0.7664906943837801,24.44251424471537,3.275081410773105
vp9,subjective,tractor-2019,1000,vp9,1862.0,mid,7.377411723136902,0.9785234928131104,83.27662658691406,85.53630065917969,646.5028610229492,630.375560760498,4.24,1.3619617223739624,0.6832208633422852,0.51807445,6.385910511016846,3.80333392581332,47.09553802400003,49.91706288655599,27.803988888202035,44.68977145385743,41.677641052246095,44.935884847005205,49.01416465333336,5.3880493535697465,38.39200908770725,0.0356912031625,0.225892128,9.5879,52.369785,296.851863861084,-0.4398263276244203,4.58176403861447,4.64874267578125,3.4298932552337646,2.827359285354614,0.34428507,33.31709801228841,0.5890728324324325,0.9043519654273988,0.9866379017829896,0.047532254204154,0.2213995753526687,0.0432354133675495,0.9941774698893228,0.5146910071372985,0.9954539685249328,3.299641152645679,4.753956835320655,1611.141513671875,2.977869693120321,1028.4862049153646,6.139345618686962,0.1578466767668723,0.9891301967302958,31.78156770324707,0.308245834827423,0.855575744152069,0.6245785039265951,0.2258518860340118,55.50051774088541,0.1628054247257557,-0.0268827119519313,0.218915927529335,0.7889948099454244,0.2337865170637766,1.017417406876882,52.11189270019531,0.0416349581902225,0.3635370525519053,-1.026121068318685,19.24416892751058,1.7516880556668013
vp9,subjective,tractor-2019,2000,vp9,3723.0,mid,7.567264854907989,0.9884374141693116,93.95956420898438,95.87291717529295,733.6038513183594,719.0358123779297,4.89,1.0318604707717896,0.6948142647743225,0.5328509,6.12942361831665,3.877391613200245,49.10698328533333,50.137021993001305,29.921315786256013,45.18915500895182,42.28228037516276,45.74404355875651,46.00313116000001,5.393851262112459,43.67659233260672,0.0195845886625,0.1601790693333333,9.6934,78.41362,314.0031852722168,-0.3382132231593132,4.722606566953501,4.830080509185791,3.9188272953033447,2.947610870361328,0.34799567,34.82902453104655,0.6198271378378377,0.9514488638242086,0.9935884904861452,0.0272020360529422,0.1828025949398676,0.0261502943386634,0.997376567363739,0.6017428129514059,0.9976077688535054,3.784641808651864,4.900352051917543,1611.1261061197918,3.060155383427938,1025.622581217448,5.9172710779589375,0.1211608406305312,0.6970681817531585,32.47932641092936,0.2407292112509409,0.9111205304463704,0.6206563963890076,0.1601506787339846,53.46002815755208,0.1256054985396405,-0.0137693952793876,0.2257791297833125,0.877462098757426,0.2359811730384826,1.0457459303538004,52.51397629801432,0.0231045408323407,0.3828567508061727,-1.0273300245602923,18.81384641265869,2.176681799012488
