comparison,codec,preset,sequence,crf,standard,bitrate,FR YUV-SSIM,FR Y-MS-SSIM,FR Y-VMAF NEG,FR Y-VMAF (v061),FR YUV-VMAF (v061),FR YUV-VMAF NEG,FR AVQT,FR Y-VQM,NR VSFA,NR MDTVSFA,NR Y-NIQE,NR VIDEVAL,NR PaQ-2-PiQ,NR KonCept512,NR LINEARITY,NR SPAQ BL,NR SPAQ MT-S,NR SPAQ MT-A,NR MEON,NR NIMA,FR GREED,FR DISTS,FR LPIPS,FR FOV VIDEO,FR DVQA,Subjective score,FR YUV-PSNR
2019,vp9,mv_subjective,crowd_run_short,1000,vp9,mid,5.261886954307556,0.8549635410308838,29.52924156188965,30.32747840881348,190.6236038208008,185.67734050750727,1.14,5.1475982666015625,0.6497910618782043,0.4791484,5.493729591369629,4.074279072414555,62.61617614599998,50.73312521362305,21.43207335197246,54.43049655084363,52.29616856527424,52.08069809325441,38.84290643512973,4.772295899362026,4.028918964958891,0.21762101275,0.571440136,8.2044,0.07508935,1.9528992155868885,206.87786293029785
2019,vp9,mv_subjective,crowd_run_short,2000,vp9,mid,5.770985543727875,0.9047298431396484,45.6440658569336,46.91183090209961,315.7818956375122,307.65106868743896,1.94,4.5267863273620605,0.721441924571991,0.55574864,4.691843509674072,4.273902740309568,68.63983004399998,52.1590383605957,48.58392232106721,56.522301565387295,55.32447864433487,55.22587476566642,32.42596931337326,5.300499543279945,15.665099588477958,0.1605826953749999,0.444099402,8.7652,0.10589313,4.119688355329167,219.6990509033203
2019,vp9,mv_subjective,crowd_run_short,4000,vp9,mid,6.308308064937592,0.9429765939712524,61.66542816162109,63.39997100830078,456.0727691650391,444.5145072937012,2.96,3.664899349212648,0.7587024569511414,0.6055395,4.089402675628662,4.399488014155822,71.74550349400003,52.40642471313477,62.97801991823661,56.77003514029071,56.01482602269826,55.30264139841655,31.511376718562865,5.4661773634542845,24.804046885738828,0.1343681483625,0.35687876,9.1455,0.13545851,6.140921483809624,234.53619003295896
2019,vp9,mv_subjective,kayak_trip_short,1000,vp9,mid,7.062564432621002,0.9076406955718994,49.24094009399414,51.22344970703125,419.324031829834,404.7897605895996,1.66,2.536745309829712,0.6755916476249695,0.5193091,6.078627109527588,3.906824843845796,68.6654648277778,50.82044271681044,45.2484742280569,47.04250820159912,45.01507697211372,46.17896070692274,37.44936847111111,4.908678999880536,8.747042524297328,0.0741345725125,0.2936945333333333,9.0573,-0.016278911,2.1924191662846244,255.9448432922364
2019,vp9,mv_subjective,kayak_trip_short,2000,vp9,mid,7.249289095401764,0.9356132745742798,58.0100212097168,60.12440872192383,491.6773338317871,476.1983146667481,2.19,2.0758934020996094,0.7078354358673096,0.5547965,5.50279712677002,3.9735497847867207,70.19596641333328,51.4375080786811,53.52347834665383,48.178015560574,46.26019624498156,47.27986796908908,35.309486981111135,4.987165947640315,14.229984100892793,0.05020380855,0.2252756877777778,9.4344,2.6861556,3.832727922394557,267.9854736328125
2019,vp9,mv_subjective,kayak_trip_short,4000,vp9,high,7.474988400936127,0.9647326469421388,69.94837951660156,72.14844512939453,581.5524215698242,565.4318542480469,3.1,1.5015554428100586,0.7406244874000549,0.5887454,5.182636260986328,4.024552930147732,71.40406262444439,51.83248437669542,59.6760825336065,49.11342999776205,47.31044122483996,48.282533213297526,33.59927309,5.074197254682788,25.268695841109533,0.032735016925,0.1595745433333333,9.6125,22.150906,4.715079266487291,287.4438018798828
2019,vp9,mv_subjective,making_alcohol_short,1000,vp9,mid,7.805745482444763,0.9872239232063292,85.32608795166016,87.57041931152344,677.6638946533203,662.3060073852539,4.58,0.8095117211341858,0.6880708932876587,0.5554826,7.557401657104492,3.5349915485720755,54.10688253611112,49.2824674182468,23.385585173985312,44.70339003668891,42.36571407318115,44.44852937062581,57.13925655000002,4.976272580524285,41.35721763288619,0.0258860222812499,0.1154950527777777,9.5231,54.22114,2.211430648243716,336.13648986816406
2019,vp9,mv_subjective,making_alcohol_short,2000,vp9,mid,7.865913033485413,0.9940271973609924,94.5936508178711,96.0957260131836,745.4465179443359,734.4240951538086,4.97,0.5639637112617493,0.7022413611412048,0.5832752,7.488126277923584,3.5921825488232844,54.9984837638889,49.56678117116292,26.950014945287805,45.12502833472358,42.81403692033556,44.9595709906684,56.71917343611116,5.040221458580345,45.75428523028232,0.0,0.0779020666666666,9.7241,83.62746,2.9643648859669667,356.4092102050781
2019,vp9,mv_subjective,making_alcohol_short,4000,vp9,high,7.900327205657959,0.9968602657318116,98.624267578125,99.32533264160156,774.9524459838867,768.8073120117188,5.0,0.4207640588283539,0.7111225128173828,0.59728956,7.435139179229736,3.6048161698144057,55.5497571944444,49.71539022657606,29.07906899925409,45.39710022608439,43.154979663425024,45.33564914067586,56.01378678055558,5.0662062556793295,48.3279032267602,0.00924527266875,0.0560658638888888,9.8158,95.09518,3.275081410773105,372.7990531921387
2019,vp9,mv_subjective,tractor_short,1000,vp9,mid,7.377411723136902,0.9785234928131104,83.27662658691406,85.53630065917969,646.5028610229492,630.375560760498,4.24,1.3619617223739624,0.6832208633422852,0.51807445,6.385910511016846,3.80333392581332,47.09553802400003,49.91706288655599,27.803988888202035,44.68977145385743,41.677641052246095,44.935884847005205,49.01416465333336,5.3880493535697465,38.39200908770725,0.0356912031625,0.225892128,9.5879,52.369785,1.7516880556668013,296.851863861084
2019,vp9,mv_subjective,tractor_short,2000,vp9,mid,7.567264854907989,0.9884374141693116,93.95956420898438,95.87291717529295,733.6038513183594,719.0358123779297,4.89,1.0318604707717896,0.6948142647743225,0.5328509,6.12942361831665,3.877391613200245,49.10698328533333,50.137021993001305,29.921315786256013,45.18915500895182,42.28228037516276,45.74404355875651,46.00313116000001,5.393851262112459,43.67659233260672,0.0195845886625,0.1601790693333333,9.6934,78.41362,2.176681799012488,314.0031852722168
2019,vp9,mv_subjective,tractor_short,4000,vp9,high,7.682921648025513,0.9930329918861388,98.83585357666016,99.50894927978516,771.1807250976562,763.9910354614258,5.0,0.8121212720870972,0.7020368576049805,0.5403568,5.877048015594482,3.9189620988894864,50.66268797333328,50.25993221028646,31.10389429686613,45.51402570597331,42.73896447753906,46.22620768229167,43.15512012800002,5.397520283112923,46.7180704234314,0.01123971342875,0.1187971306666666,9.7885,90.34229,2.7407235710853826,328.3447456359863
2019,vp9,mv_subjective,wedding_party_short,1000,vp9,mid,7.626637697219849,0.9631201028823853,68.00163269042969,70.39531707763672,525.5654487609863,509.1162796020508,3.42,1.4041744470596311,0.5352225303649902,0.39876845,8.712360382080078,3.0843684845948127,48.83094614166664,45.52067042456733,-21.16496656777353,41.286766359541154,40.115716520945234,40.57853285471598,53.72436686388891,3.826769284909177,38.99409203624553,0.109364289425,0.2728194333333333,9.1064,0.10619147,2.016452137549707,296.4484176635742
2019,vp9,mv_subjective,wedding_party_short,2000,vp9,mid,7.716607689857483,0.9794589281082152,83.99830627441406,86.22470092773438,645.8203887939453,630.1550483703613,4.14,1.0141056776046753,0.5632526278495789,0.42769465,8.332597732543945,3.164444777213863,50.95268427777776,46.30581624772814,-13.268652124097663,41.52289975484212,40.3020871480306,40.88571139441597,53.43784660833334,4.161292561712778,45.20133111756029,0.0716259130625,0.2202635611111111,9.4259,9.2605915,4.386326307848789,317.82071685791016
